index,light,lat,long,accel_x,ACCELEROMETER Y,ACCELEROMETER Z,LOCATION Accuracy,elapsed,timestamp,geometry
124,0.0,50.38647,-4.146735,1.8013,-4.1893,-1.6745,9.0,124015,2019-08-30 20:53:54:874,POINT (-4.146735 50.38647)
125,0.0,50.38647,-4.146715,0.4363,-6.171,1.1552,9.0,125015,2019-08-30 20:53:55:874,POINT (-4.146715 50.38647)
126,0.0,50.386466999999996,-4.146701,2.8007,-14.2129,2.81,9.0,126015,2019-08-30 20:53:56:874,POINT (-4.146701 50.386467)
127,0.0,50.38648,-4.146679,-1.8259,-8.981,-0.3967,9.0,127016,2019-08-30 20:53:57:875,POINT (-4.146679 50.38648)
128,0.0,50.38648,-4.146654,-0.1412,-8.4438,0.3642,10.0,128015,2019-08-30 20:53:58:874,POINT (-4.146654 50.38648)
129,0.0,50.38649,-4.146641000000001,0.2194,-7.3812,2.7036,9.0,129015,2019-08-30 20:53:59:874,POINT (-4.146641000000001 50.38649)
130,0.0,50.386494,-4.146643,-2.5962,-9.7712,-6.0599,9.0,130015,2019-08-30 20:54:00:874,POINT (-4.146643 50.386494)
131,0.0,50.386494,-4.146643,1.212,-8.1431,1.6269,9.0,131016,2019-08-30 20:54:01:875,POINT (-4.146643 50.386494)
132,0.0,50.386497,-4.146618,-3.2277,-12.8515,-2.2122,9.0,132015,2019-08-30 20:54:02:874,POINT (-4.146618 50.386497)
133,0.0,50.386505,-4.1466,-0.7802,-9.4934,0.94,9.0,133015,2019-08-30 20:54:03:874,POINT (-4.1466 50.386505)
134,0.0,50.386513,-4.146605999999999,0.2768,-11.367,-0.1205,4.0,134015,2019-08-30 20:54:04:874,POINT (-4.146605999999999 50.386513)
135,0.0,50.386513,-4.146585,0.1746,-9.1447,-3.9589,4.0,135015,2019-08-30 20:54:05:874,POINT (-4.146585 50.386513)
136,0.0,50.386520000000004,-4.146575,1.8254,-3.9282,-1.2713,4.0,136016,2019-08-30 20:54:06:875,POINT (-4.146575 50.38652)
137,0.0,50.386524,-4.146566,-0.632,-10.047,-0.1629,4.0,137016,2019-08-30 20:54:07:875,POINT (-4.146566 50.386524)
138,0.0,50.38653,-4.146547,-2.3556,-12.0959,-3.0079,4.0,138016,2019-08-30 20:54:08:875,POINT (-4.146547 50.38653)
139,0.0,50.386547,-4.146527,-2.8948,-9.0064,-0.0018,4.0,139015,2019-08-30 20:54:09:874,POINT (-4.146527 50.386547)
140,0.0,50.386547,-4.146511,-4.039,-10.9338,0.1193,4.0,140015,2019-08-30 20:54:10:874,POINT (-4.146511 50.386547)
141,0.0,50.386559999999996,-4.146502,-1.2402,-8.2637,-5.2407,4.0,141015,2019-08-30 20:54:11:874,POINT (-4.146502 50.38656)
142,0.0,50.386565999999995,-4.146495,0.2428,-3.7194,1.2773,4.0,142016,2019-08-30 20:54:12:875,POINT (-4.146495 50.38656599999999)
143,0.0,50.386578,-4.146483,-5.9181,-12.2019,-1.2963,4.0,143016,2019-08-30 20:54:13:875,POINT (-4.146483 50.386578)
